SAMD20-xpro  	  rev_00	  rev_01	  rev_02	  rev_03	  rev_04	  rev_05	  rev_06	  rev_07	  rev_08	  rev_09	  rev_10	  rev_11	  rev_12	mean/std
zlib         	   69.97	   69.69	   69.7 	   69.06	   69.07	   68.3 	   68.12	   68.12	   68.09	   68.16	   68.13	   66.92	   68.36	68.6/0.8
gzip         	   70.03	   69.75	   69.76	   69.07	   69.09	   68.3 	   68.13	   68.13	   68.1 	   68.17	   68.14	   66.93	   68.37	68.6/0.8
bz2          	   74.21	   73.77	   74.07	   70.19	   70.26	   69.94	   69.76	   69.73	   69.77	   69.71	   69.7 	   68.7 	   69.4 	70.7/1.9
lzma         	   65.61	   65.02	   65.04	   62.49	   62.5 	   61.99	   61.83	   61.78	   61.77	   61.75	   61.79	   60.81	   61.56	62.6/1.5
hs           	   82.93	   82.6 	   82.59	   82.98	   83   	   82.58	   82.33	   82.35	   82.37	   82.34	   82.34	   81.17	   82.48	82.5/0.4
miniz        	   72.56	   72.35	   72.37	   72.97	   72.98	   72.62	   72.43	   72.41	   72.39	   72.4 	   72.41	   71.31	   71.85	72.4/0.4

SAMD21-xpro  	  rev_00	  rev_01	  rev_02	  rev_03	  rev_04	  rev_05	  rev_06	  rev_07	  rev_08	  rev_09	  rev_10	  rev_11	  rev_12	mean/std
zlib         	   70.03	   69.72	   69.62	   69.08	   69.09	   68.3 	   68.11	   68.15	   68.11	   68.12	   68.13	   66.95	   68.42	68.6/0.9
gzip         	   70.09	   69.78	   69.69	   69.1 	   69.1 	   68.31	   68.12	   68.16	   68.12	   68.13	   68.15	   66.96	   68.42	68.6/0.9
bz2          	   74.07	   73.78	   73.87	   70.18	   70.15	   69.86	   69.72	   69.71	   69.65	   69.73	   69.73	   68.68	   69.46	70.7/1.9
lzma         	   65.54	   65   	   64.99	   62.49	   62.51	   61.99	   61.81	   61.77	   61.74	   61.73	   61.69	   60.77	   61.56	62.6/1.5
hs           	   82.98	   82.64	   82.53	   82.99	   83   	   82.58	   82.38	   82.36	   82.35	   82.34	   82.34	   81.16	   82.52	82.5/0.5
miniz        	   72.53	   72.42	   72.33	   73.01	   73.02	   72.59	   72.4 	   72.42	   72.41	   72.43	   72.43	   71.31	   71.92	72.4/0.4
